week_index,iso_year,iso_week,S,CO,I,P
84,2025,33,81,0,0,81
85,2025,34,81,0,0,81
86,2025,35,81,0,0,81
87,2025,36,81,0,0,81
88,2025,37,81,0,0,81
89,2025,38,81,0,0,81
90,2025,39,81,0,0,81
91,2025,40,81,0,0,81
92,2025,41,81,0,0,81
93,2025,42,81,0,0,81
94,2025,43,81,0,0,81
95,2025,44,81,0,0,81
96,2025,45,81,0,0,81
97,2025,46,81,0,0,81
98,2025,47,81,0,0,81
99,2025,48,81,0,0,81
100,2025,49,81,0,0,81
101,2025,50,81,0,0,81
102,2025,51,81,0,0,81
103,2025,52,81,0,0,81
104,2026,1,81,0,0,81
105,2026,2,81,0,0,81
106,2026,3,81,0,0,81
107,2026,4,81,0,0,81
108,2026,5,81,0,0,81
109,2026,6,81,0,0,81
110,2026,7,81,0,0,81
111,2026,8,81,0,0,81
112,2026,9,81,0,0,81
113,2026,10,81,0,0,81
114,2026,11,81,0,0,81
115,2026,12,81,0,0,81
116,2026,13,81,0,0,81
117,2026,14,81,0,0,81
118,2026,15,81,0,0,81
119,2026,16,81,0,0,81
120,2026,17,81,0,0,81
121,2026,18,81,0,0,81
122,2026,19,81,0,0,81
123,2026,20,81,0,0,81
124,2026,21,81,0,0,81
125,2026,22,81,0,0,81
126,2026,23,81,0,0,81
127,2026,24,81,0,0,81
128,2026,25,81,0,0,81
129,2026,26,81,0,0,81
130,2026,27,81,0,0,81
131,2026,28,81,0,0,81
132,2026,29,81,0,0,81
133,2026,30,81,0,0,81
134,2026,31,81,0,0,81
135,2026,32,81,0,0,81
136,2026,33,81,0,0,81
137,2026,34,81,0,0,81
138,2026,35,81,0,0,12
139,2026,36,12,0,0,0
140,2026,37,0,0,0,0
141,2026,38,0,0,0,0
142,2026,39,0,0,0,0
143,2026,40,0,0,0,0
144,2026,41,0,0,0,0
145,2026,42,0,0,0,0
146,2026,43,0,0,0,0
147,2026,44,0,0,0,0
148,2026,45,0,0,0,0
149,2026,46,0,0,0,0
150,2026,47,0,0,0,0
151,2026,48,0,0,0,0
152,2026,49,0,0,0,0
153,2026,50,0,0,0,0
154,2026,51,0,0,0,0
155,2026,52,0,0,0,0
156,2026,53,0,0,0,0
157,2027,1,0,0,0,0
158,2027,2,0,0,0,0
159,2027,3,0,0,0,0
160,2027,4,0,0,0,0
161,2027,5,0,0,0,0
162,2027,6,0,0,0,0
163,2027,7,0,0,0,0
164,2027,8,0,0,0,0
165,2027,9,0,0,0,0
166,2027,10,0,0,0,0
167,2027,11,0,0,0,0
168,2027,12,0,0,0,0
169,2027,13,0,0,0,0
170,2027,14,0,0,0,0
171,2027,15,0,0,0,0
172,2027,16,0,0,0,0
173,2027,17,0,0,0,0
174,2027,18,0,0,0,0
175,2027,19,0,0,0,0
176,2027,20,0,0,0,0
177,2027,21,0,0,0,0
178,2027,22,0,0,0,0
179,2027,23,0,0,0,0
180,2027,24,0,0,0,0
181,2027,25,0,0,0,0
182,2027,26,0,0,0,0
183,2027,27,0,0,0,0
184,2027,28,0,0,0,0
185,2027,29,0,0,0,0
186,2027,30,0,0,0,0
187,2027,31,0,0,0,0
188,2027,32,0,0,0,0
189,2027,33,0,0,0,0
190,2027,34,0,0,0,0
191,2027,35,0,0,0,0
192,2027,36,0,0,0,0
193,2027,37,0,0,0,0
194,2027,38,0,0,0,0
195,2027,39,0,0,0,0
196,2027,40,0,0,0,0
197,2027,41,0,0,0,0
198,2027,42,0,0,0,0
199,2027,43,0,0,0,0
200,2027,44,0,0,0,0
201,2027,45,0,0,0,0
202,2027,46,0,0,0,0
203,2027,47,0,0,0,0
204,2027,48,0,0,0,0
205,2027,49,0,0,0,0
206,2027,50,0,0,0,0
207,2027,51,0,0,0,0
208,2027,52,0,0,0,0
