week_index,iso_year,iso_week,S,CO,I,P
84,2025,33,2,0,0,2
85,2025,34,2,0,0,2
86,2025,35,2,0,0,2
87,2025,36,2,0,0,2
88,2025,37,2,0,0,2
89,2025,38,2,0,0,2
90,2025,39,2,0,0,2
91,2025,40,2,0,0,2
92,2025,41,2,0,0,2
93,2025,42,2,0,0,2
94,2025,43,2,0,0,2
95,2025,44,2,0,0,2
96,2025,45,2,0,0,2
97,2025,46,2,0,0,2
98,2025,47,2,0,0,2
99,2025,48,2,0,0,2
100,2025,49,2,0,0,2
101,2025,50,2,0,0,2
102,2025,51,2,0,0,2
103,2025,52,2,0,0,2
104,2026,1,2,0,0,2
105,2026,2,2,0,0,2
106,2026,3,2,0,0,2
107,2026,4,2,0,0,2
108,2026,5,2,0,0,2
109,2026,6,2,0,0,2
110,2026,7,2,0,0,2
111,2026,8,2,0,0,2
112,2026,9,2,0,0,2
113,2026,10,2,0,0,2
114,2026,11,2,0,0,2
115,2026,12,2,0,0,2
116,2026,13,2,0,0,2
117,2026,14,2,0,0,2
118,2026,15,2,0,0,2
119,2026,16,2,0,0,2
120,2026,17,2,0,0,2
121,2026,18,2,0,0,2
122,2026,19,2,0,0,2
123,2026,20,2,0,0,2
124,2026,21,2,0,0,2
125,2026,22,2,0,0,0
126,2026,23,0,0,0,0
127,2026,24,0,0,0,0
128,2026,25,0,0,0,0
129,2026,26,0,0,0,0
130,2026,27,0,0,0,0
131,2026,28,0,0,0,0
132,2026,29,0,0,0,0
133,2026,30,0,0,0,0
134,2026,31,0,0,0,0
135,2026,32,0,0,0,0
136,2026,33,0,0,0,0
137,2026,34,0,0,0,0
138,2026,35,0,0,0,0
139,2026,36,0,0,0,0
140,2026,37,0,0,0,0
141,2026,38,0,0,0,0
142,2026,39,0,0,0,0
143,2026,40,0,0,0,0
144,2026,41,0,0,0,0
145,2026,42,0,0,0,0
146,2026,43,0,0,0,0
147,2026,44,0,0,0,0
148,2026,45,0,0,0,0
149,2026,46,0,0,0,0
150,2026,47,0,0,0,0
151,2026,48,0,0,0,0
152,2026,49,0,0,0,0
153,2026,50,0,0,0,0
154,2026,51,0,0,0,0
155,2026,52,0,0,0,0
156,2026,53,0,0,0,0
157,2027,1,0,0,0,0
158,2027,2,0,0,0,0
159,2027,3,0,0,0,0
160,2027,4,0,0,0,0
161,2027,5,0,0,0,0
162,2027,6,0,0,0,0
163,2027,7,0,0,0,0
164,2027,8,0,0,0,0
165,2027,9,0,0,0,0
166,2027,10,0,0,0,0
167,2027,11,0,0,0,0
168,2027,12,0,0,0,0
169,2027,13,0,0,0,0
170,2027,14,0,0,0,0
171,2027,15,0,0,0,0
172,2027,16,0,0,0,0
173,2027,17,0,0,0,0
174,2027,18,0,0,0,0
175,2027,19,0,0,0,0
176,2027,20,0,0,0,0
177,2027,21,0,0,0,0
178,2027,22,0,0,0,0
179,2027,23,0,0,0,0
180,2027,24,0,0,0,0
181,2027,25,0,0,0,0
182,2027,26,0,0,0,0
183,2027,27,0,0,0,0
184,2027,28,0,0,0,0
185,2027,29,0,0,0,0
186,2027,30,0,0,0,0
187,2027,31,0,0,0,0
188,2027,32,0,0,0,0
189,2027,33,0,0,0,0
190,2027,34,0,0,0,0
191,2027,35,0,0,0,0
192,2027,36,0,0,0,0
193,2027,37,0,0,0,0
194,2027,38,0,0,0,0
195,2027,39,0,0,0,0
196,2027,40,0,0,0,0
197,2027,41,0,0,0,0
198,2027,42,0,0,0,0
199,2027,43,0,0,0,0
200,2027,44,0,0,0,0
201,2027,45,0,0,0,0
202,2027,46,0,0,0,0
203,2027,47,0,0,0,0
204,2027,48,0,0,0,0
205,2027,49,0,0,0,0
206,2027,50,0,0,0,0
207,2027,51,0,0,0,0
208,2027,52,0,0,0,0
